model_key,Date,Order_Demand
Product_0620-Whse_J-Category_001,2011-12-20,13.0
Product_0620-Whse_J-Category_001,2011-12-21,19.0
Product_0620-Whse_J-Category_001,2011-12-22,57.0
Product_0620-Whse_J-Category_001,2011-12-26,23.0
Product_0620-Whse_J-Category_001,2011-12-27,5.0
Product_0620-Whse_J-Category_001,2011-12-28,12.0
Product_0620-Whse_J-Category_001,2012-01-05,29.0
Product_0620-Whse_J-Category_001,2012-01-06,115.0
Product_0620-Whse_J-Category_001,2012-01-10,12.0
Product_0620-Whse_J-Category_001,2012-01-11,16.0
Product_0620-Whse_J-Category_001,2012-01-12,29.0
Product_0620-Whse_J-Category_001,2012-01-13,19.0
Product_0620-Whse_J-Category_001,2012-01-16,45.0
Product_0620-Whse_J-Category_001,2012-01-17,65.0
Product_0620-Whse_J-Category_001,2012-01-18,32.0
Product_0620-Whse_J-Category_001,2012-01-19,69.0
Product_0620-Whse_J-Category_001,2012-01-20,30.0
Product_0620-Whse_J-Category_001,2012-01-23,25.0
Product_0620-Whse_J-Category_001,2012-01-24,20.0
Product_0620-Whse_J-Category_001,2012-01-25,35.0
Product_0620-Whse_J-Category_001,2012-01-26,22.0
Product_0620-Whse_J-Category_001,2012-01-27,26.0
Product_0620-Whse_J-Category_001,2012-01-30,27.0
Product_0620-Whse_J-Category_001,2012-01-31,42.0
Product_0620-Whse_J-Category_001,2012-02-01,38.0
Product_0620-Whse_J-Category_001,2012-02-02,111.0
Product_0620-Whse_J-Category_001,2012-02-03,12.0
Product_0620-Whse_J-Category_001,2012-02-06,27.0
Product_0620-Whse_J-Category_001,2012-02-07,35.0
Product_0620-Whse_J-Category_001,2012-02-08,18.0
Product_0620-Whse_J-Category_001,2012-02-09,29.0
Product_0620-Whse_J-Category_001,2012-02-10,21.0
Product_0620-Whse_J-Category_001,2012-02-13,52.0
Product_0620-Whse_J-Category_001,2012-02-14,6.0
Product_0620-Whse_J-Category_001,2012-02-15,23.0
Product_0620-Whse_J-Category_001,2012-02-16,33.0
Product_0620-Whse_J-Category_001,2012-02-17,45.0
Product_0620-Whse_J-Category_001,2012-02-20,58.0
Product_0620-Whse_J-Category_001,2012-02-21,30.0
