,model_key,Date,Order_Demand
0,Product_0620-Whse_J-Category_001,2012-01-05 00:00:00.000000,29.0
1,Product_0620-Whse_J-Category_001,2012-01-06 00:00:00.000000,68.0
2,Product_0620-Whse_J-Category_001,2012-01-07 00:00:00.000000,48.5
3,Product_0620-Whse_J-Category_001,2012-01-08 00:00:00.000000,48.5
4,Product_0620-Whse_J-Category_001,2012-01-09 00:00:00.000000,48.5
5,Product_0620-Whse_J-Category_001,2012-01-10 00:00:00.000000,12.0
6,Product_0620-Whse_J-Category_001,2012-01-11 00:00:00.000000,16.0
7,Product_0620-Whse_J-Category_001,2012-01-12 00:00:00.000000,29.0
8,Product_0620-Whse_J-Category_001,2012-01-13 00:00:00.000000,19.0
9,Product_0620-Whse_J-Category_001,2012-01-14 00:00:00.000000,19.0
10,Product_0620-Whse_J-Category_001,2012-01-15 00:00:00.000000,19.0
11,Product_0620-Whse_J-Category_001,2012-01-16 00:00:00.000000,45.0
12,Product_0620-Whse_J-Category_001,2012-01-17 00:00:00.000000,65.0
13,Product_0620-Whse_J-Category_001,2012-01-18 00:00:00.000000,32.0
14,Product_0620-Whse_J-Category_001,2012-01-19 00:00:00.000000,68.0
15,Product_0620-Whse_J-Category_001,2012-01-20 00:00:00.000000,30.0
16,Product_0620-Whse_J-Category_001,2012-01-21 00:00:00.000000,48.0
17,Product_0620-Whse_J-Category_001,2012-01-22 00:00:00.000000,48.0
18,Product_0620-Whse_J-Category_001,2012-01-23 00:00:00.000000,25.0
19,Product_0620-Whse_J-Category_001,2012-01-24 00:00:00.000000,20.0
20,Product_0620-Whse_J-Category_001,2012-01-25 00:00:00.000000,35.0
21,Product_0620-Whse_J-Category_001,2012-01-26 00:00:00.000000,22.0
22,Product_0620-Whse_J-Category_001,2012-01-27 00:00:00.000000,26.0
23,Product_0620-Whse_J-Category_001,2012-01-28 00:00:00.000000,25.6
24,Product_0620-Whse_J-Category_001,2012-01-29 00:00:00.000000,25.6
25,Product_0620-Whse_J-Category_001,2012-01-30 00:00:00.000000,27.0
26,Product_0620-Whse_J-Category_001,2012-01-31 00:00:00.000000,42.0
27,Product_0620-Whse_J-Category_001,2012-02-01 00:00:00.000000,38.0
28,Product_0620-Whse_J-Category_001,2012-02-02 00:00:00.000000,68.0
29,Product_0620-Whse_J-Category_001,2012-02-03 00:00:00.000000,12.0
30,Product_0620-Whse_J-Category_001,2012-02-04 00:00:00.000000,37.4
31,Product_0620-Whse_J-Category_001,2012-02-05 00:00:00.000000,37.4
32,Product_0620-Whse_J-Category_001,2012-02-06 00:00:00.000000,27.0
33,Product_0620-Whse_J-Category_001,2012-02-07 00:00:00.000000,35.0
34,Product_0620-Whse_J-Category_001,2012-02-08 00:00:00.000000,18.0
35,Product_0620-Whse_J-Category_001,2012-02-09 00:00:00.000000,29.0
36,Product_0620-Whse_J-Category_001,2012-02-10 00:00:00.000000,21.0
37,Product_0620-Whse_J-Category_001,2012-02-11 00:00:00.000000,26.0
38,Product_0620-Whse_J-Category_001,2012-02-12 00:00:00.000000,26.0
39,Product_0620-Whse_J-Category_001,2012-02-13 00:00:00.000000,52.0
40,Product_0620-Whse_J-Category_001,2012-02-14 00:00:00.000000,6.0
41,Product_0620-Whse_J-Category_001,2012-02-15 00:00:00.000000,23.0
42,Product_0620-Whse_J-Category_001,2012-02-16 00:00:00.000000,33.0
43,Product_0620-Whse_J-Category_001,2012-02-17 00:00:00.000000,45.0
44,Product_0620-Whse_J-Category_001,2012-02-18 00:00:00.000000,31.8
45,Product_0620-Whse_J-Category_001,2012-02-19 00:00:00.000000,31.8
46,Product_0620-Whse_J-Category_001,2012-02-20 00:00:00.000000,58.0
47,Product_0620-Whse_J-Category_001,2012-02-21 00:00:00.000000,30.0
48,Product_0620-Whse_J-Category_001,2012-02-22 00:00:00.000000,10.0
49,Product_0620-Whse_J-Category_001,2012-02-23 00:00:00.000000,50.0
50,Product_0620-Whse_J-Category_001,2012-02-24 00:00:00.000000,23.0
51,Product_0620-Whse_J-Category_001,2012-02-25 00:00:00.000000,34.2
52,Product_0620-Whse_J-Category_001,2012-02-26 00:00:00.000000,34.2
53,Product_0620-Whse_J-Category_001,2012-02-27 00:00:00.000000,68.0
54,Product_0620-Whse_J-Category_001,2012-02-28 00:00:00.000000,58.0
55,Product_0620-Whse_J-Category_001,2012-02-29 00:00:00.000000,68.0
56,Product_0620-Whse_J-Category_001,2012-03-01 00:00:00.000000,36.0
57,Product_0620-Whse_J-Category_001,2012-03-02 00:00:00.000000,68.0
58,Product_0620-Whse_J-Category_001,2012-03-03 00:00:00.000000,59.6
59,Product_0620-Whse_J-Category_001,2012-03-04 00:00:00.000000,59.6
60,Product_0620-Whse_J-Category_001,2012-03-05 00:00:00.000000,68.0
61,Product_0620-Whse_J-Category_001,2012-03-06 00:00:00.000000,48.0
62,Product_0620-Whse_J-Category_001,2012-03-07 00:00:00.000000,43.0
63,Product_0620-Whse_J-Category_001,2012-03-08 00:00:00.000000,4.0
64,Product_0620-Whse_J-Category_001,2012-03-09 00:00:00.000000,11.0
65,Product_0620-Whse_J-Category_001,2012-03-10 00:00:00.000000,34.8
66,Product_0620-Whse_J-Category_001,2012-03-11 00:00:00.000000,34.8
67,Product_0620-Whse_J-Category_001,2012-03-12 00:00:00.000000,14.0
68,Product_0620-Whse_J-Category_001,2012-03-13 00:00:00.000000,47.0
69,Product_0620-Whse_J-Category_001,2012-03-14 00:00:00.000000,41.0
70,Product_0620-Whse_J-Category_001,2012-03-15 00:00:00.000000,10.0
71,Product_0620-Whse_J-Category_001,2012-03-16 00:00:00.000000,35.0
72,Product_0620-Whse_J-Category_001,2012-03-17 00:00:00.000000,29.4
73,Product_0620-Whse_J-Category_001,2012-03-18 00:00:00.000000,29.4
74,Product_0620-Whse_J-Category_001,2012-03-19 00:00:00.000000,17.0
75,Product_0620-Whse_J-Category_001,2012-03-20 00:00:00.000000,25.75
76,Product_0620-Whse_J-Category_001,2012-03-21 00:00:00.000000,16.0
77,Product_0620-Whse_J-Category_001,2012-03-22 00:00:00.000000,13.0
78,Product_0620-Whse_J-Category_001,2012-03-23 00:00:00.000000,18.0
79,Product_0620-Whse_J-Category_001,2012-03-24 00:00:00.000000,16.0
80,Product_0620-Whse_J-Category_001,2012-03-25 00:00:00.000000,16.0
81,Product_0620-Whse_J-Category_001,2012-03-26 00:00:00.000000,26.0
82,Product_0620-Whse_J-Category_001,2012-03-27 00:00:00.000000,3.0
83,Product_0620-Whse_J-Category_001,2012-03-28 00:00:00.000000,18.0
84,Product_0620-Whse_J-Category_001,2012-03-29 00:00:00.000000,2.0
85,Product_0620-Whse_J-Category_001,2012-03-30 00:00:00.000000,33.0
86,Product_0620-Whse_J-Category_001,2012-03-31 00:00:00.000000,16.4
87,Product_0620-Whse_J-Category_001,2012-04-01 00:00:00.000000,1.0
88,Product_0620-Whse_J-Category_001,2012-04-02 00:00:00.000000,19.0
89,Product_0620-Whse_J-Category_001,2012-04-03 00:00:00.000000,16.0
90,Product_0620-Whse_J-Category_001,2012-04-04 00:00:00.000000,29.0
91,Product_0620-Whse_J-Category_001,2012-04-05 00:00:00.000000,67.0
92,Product_0620-Whse_J-Category_001,2012-04-06 00:00:00.000000,16.0
93,Product_0620-Whse_J-Category_001,2012-04-07 00:00:00.000000,24.666666666666668
94,Product_0620-Whse_J-Category_001,2012-04-08 00:00:00.000000,2.0
95,Product_0620-Whse_J-Category_001,2012-04-09 00:00:00.000000,68.0
96,Product_0620-Whse_J-Category_001,2012-04-10 00:00:00.000000,68.0
97,Product_0620-Whse_J-Category_001,2012-04-11 00:00:00.000000,19.0
98,Product_0620-Whse_J-Category_001,2012-04-12 00:00:00.000000,3.0
99,Product_0620-Whse_J-Category_001,2012-04-13 00:00:00.000000,11.0
100,Product_0620-Whse_J-Category_001,2012-04-14 00:00:00.000000,28.5
101,Product_0620-Whse_J-Category_001,2012-04-15 00:00:00.000000,2.0
102,Product_0620-Whse_J-Category_001,2012-04-16 00:00:00.000000,22.0
103,Product_0620-Whse_J-Category_001,2012-04-17 00:00:00.000000,17.0
104,Product_0620-Whse_J-Category_001,2012-04-18 00:00:00.000000,31.0
105,Product_0620-Whse_J-Category_001,2012-04-19 00:00:00.000000,3.0
106,Product_0620-Whse_J-Category_001,2012-04-20 00:00:00.000000,45.0
107,Product_0620-Whse_J-Category_001,2012-04-21 00:00:00.000000,20.0
108,Product_0620-Whse_J-Category_001,2012-04-22 00:00:00.000000,23.6
109,Product_0620-Whse_J-Category_001,2012-04-23 00:00:00.000000,16.0
110,Product_0620-Whse_J-Category_001,2012-04-24 00:00:00.000000,68.0
111,Product_0620-Whse_J-Category_001,2012-04-25 00:00:00.000000,50.0
112,Product_0620-Whse_J-Category_001,2012-04-26 00:00:00.000000,16.0
113,Product_0620-Whse_J-Category_001,2012-04-27 00:00:00.000000,22.0
114,Product_0620-Whse_J-Category_001,2012-04-28 00:00:00.000000,34.4
115,Product_0620-Whse_J-Category_001,2012-04-29 00:00:00.000000,34.4
116,Product_0620-Whse_J-Category_001,2012-04-30 00:00:00.000000,39.0
117,Product_0620-Whse_J-Category_001,2012-05-01 00:00:00.000000,19.0
118,Product_0620-Whse_J-Category_001,2012-05-02 00:00:00.000000,68.0
119,Product_0620-Whse_J-Category_001,2012-05-03 00:00:00.000000,36.333333333333336
120,Product_0620-Whse_J-Category_001,2012-05-04 00:00:00.000000,43.5
121,Product_0620-Whse_J-Category_001,2012-05-05 00:00:00.000000,43.5
122,Product_0620-Whse_J-Category_001,2012-05-06 00:00:00.000000,43.5
123,Product_0620-Whse_J-Category_001,2012-05-07 00:00:00.000000,5.0
124,Product_0620-Whse_J-Category_001,2012-05-08 00:00:00.000000,32.0
125,Product_0620-Whse_J-Category_001,2012-05-09 00:00:00.000000,53.0
126,Product_0620-Whse_J-Category_001,2012-05-10 00:00:00.000000,9.0
127,Product_0620-Whse_J-Category_001,2012-05-11 00:00:00.000000,25.0
128,Product_0620-Whse_J-Category_001,2012-05-12 00:00:00.000000,24.8
129,Product_0620-Whse_J-Category_001,2012-05-13 00:00:00.000000,24.8
130,Product_0620-Whse_J-Category_001,2012-05-14 00:00:00.000000,8.0
131,Product_0620-Whse_J-Category_001,2012-05-15 00:00:00.000000,14.0
132,Product_0620-Whse_J-Category_001,2012-05-16 00:00:00.000000,12.0
133,Product_0620-Whse_J-Category_001,2012-05-17 00:00:00.000000,31.0
134,Product_0620-Whse_J-Category_001,2012-05-18 00:00:00.000000,8.0
135,Product_0620-Whse_J-Category_001,2012-05-19 00:00:00.000000,14.6
136,Product_0620-Whse_J-Category_001,2012-05-20 00:00:00.000000,14.6
137,Product_0620-Whse_J-Category_001,2012-05-21 00:00:00.000000,64.0
138,Product_0620-Whse_J-Category_001,2012-05-22 00:00:00.000000,9.0
139,Product_0620-Whse_J-Category_001,2012-05-23 00:00:00.000000,54.0
140,Product_0620-Whse_J-Category_001,2012-05-24 00:00:00.000000,28.0
141,Product_0620-Whse_J-Category_001,2012-05-25 00:00:00.000000,14.0
142,Product_0620-Whse_J-Category_001,2012-05-26 00:00:00.000000,33.8
143,Product_0620-Whse_J-Category_001,2012-05-27 00:00:00.000000,33.8
144,Product_0620-Whse_J-Category_001,2012-05-28 00:00:00.000000,18.0
145,Product_0620-Whse_J-Category_001,2012-05-29 00:00:00.000000,11.0
146,Product_0620-Whse_J-Category_001,2012-05-30 00:00:00.000000,10.0
147,Product_0620-Whse_J-Category_001,2012-05-31 00:00:00.000000,24.0
148,Product_0620-Whse_J-Category_001,2012-06-01 00:00:00.000000,25.0
149,Product_0620-Whse_J-Category_001,2012-06-02 00:00:00.000000,17.6
150,Product_0620-Whse_J-Category_001,2012-06-03 00:00:00.000000,17.6
