,Order_Demand
2012-01-05,21700.0
2012-01-06,79000.0
2012-01-07,0.0
2012-01-08,0.0
2012-01-09,0.0
2012-01-10,226200.0
2012-01-11,195400.0
2012-01-12,14300.0
2012-01-13,181500.0
2012-01-14,0.0
2012-01-15,0.0
2012-01-16,181000.0
2012-01-17,38400.0
2012-01-18,7700.0
2012-01-19,9100.0
2012-01-20,13000.0
2012-01-21,0.0
2012-01-22,0.0
2012-01-23,81400.0
2012-01-24,7600.0
2012-01-25,46500.0
2012-01-26,67000.0
2012-01-27,38000.0
2012-01-28,0.0
2012-01-29,0.0
2012-01-30,21000.0
2012-01-31,38500.0
2012-02-01,50300.0
2012-02-02,35100.0
2012-02-03,29200.0
2012-02-04,0.0
2012-02-05,0.0
2012-02-06,5000.0
2012-02-07,13000.0
2012-02-08,26600.0
2012-02-09,37000.0
2012-02-10,25300.0
2012-02-11,0.0
2012-02-12,0.0
2012-02-13,69100.0
2012-02-14,45000.0
2012-02-15,92400.0
2012-02-16,17100.0
2012-02-17,8000.0
2012-02-18,0.0
2012-02-19,0.0
2012-02-20,15100.0
2012-02-21,33200.0
2012-02-22,102100.0
2012-02-23,79500.0
2012-02-24,9000.0
2012-02-25,0.0
2012-02-26,0.0
2012-02-27,29200.0
2012-02-28,40600.0
2012-02-29,51100.0
2012-03-01,57000.0
2012-03-02,69000.0
2012-03-03,0.0
2012-03-04,0.0
2012-03-05,18700.0
2012-03-06,16300.0
2012-03-07,22500.0
2012-03-08,22200.0
2012-03-09,33400.0
2012-03-10,0.0
2012-03-11,0.0
2012-03-12,40500.0
2012-03-13,98800.0
2012-03-14,89000.0
2012-03-15,53000.0
2012-03-16,3000.0
2012-03-17,0.0
2012-03-18,0.0
2012-03-19,25500.0
2012-03-20,0.0
2012-03-21,41200.0
2012-03-22,92400.0
2012-03-23,19500.0
2012-03-24,0.0
2012-03-25,0.0
2012-03-26,69600.0
2012-03-27,31900.0
2012-03-28,29900.0
2012-03-29,69500.0
2012-03-30,125000.0
2012-03-31,0.0
2012-04-01,0.0
2012-04-02,52600.0
2012-04-03,74400.0
2012-04-04,9500.0
2012-04-05,66000.0
2012-04-06,57200.0
2012-04-07,0.0
2012-04-08,0.0
2012-04-09,27000.0
2012-04-10,55100.0
2012-04-11,23300.0
2012-04-12,26100.0
2012-04-13,19000.0
2012-04-14,0.0
2012-04-15,0.0
2012-04-16,87200.0
2012-04-17,43500.0
2012-04-18,52300.0
2012-04-19,141200.0
2012-04-20,11000.0
2012-04-21,0.0
2012-04-22,0.0
2012-04-23,122000.0
2012-04-24,34300.0
2012-04-25,3000.0
2012-04-26,74500.0
2012-04-27,29300.0
2012-04-28,0.0
2012-04-29,0.0
2012-04-30,10000.0
2012-05-01,72000.0
2012-05-02,42000.0
2012-05-03,0.0
2012-05-04,0.0
2012-05-05,0.0
2012-05-06,0.0
2012-05-07,16800.0
2012-05-08,66300.0
2012-05-09,61000.0
2012-05-10,7000.0
2012-05-11,22500.0
2012-05-12,0.0
2012-05-13,0.0
2012-05-14,52300.0
2012-05-15,32700.0
2012-05-16,17100.0
2012-05-17,20000.0
2012-05-18,9000.0
2012-05-19,0.0
2012-05-20,0.0
2012-05-21,85500.0
2012-05-22,3000.0
2012-05-23,37800.0
2012-05-24,145000.0
2012-05-25,12000.0
2012-05-26,0.0
2012-05-27,0.0
2012-05-28,9100.0
2012-05-29,60000.0
2012-05-30,30500.0
2012-05-31,36300.0
2012-06-01,84000.0
2012-06-02,0.0
2012-06-03,0.0
2012-06-04,35100.0
2012-06-05,43100.0
2012-06-06,14000.0
2012-06-07,85800.0
2012-06-08,20000.0
2012-06-09,0.0
2012-06-10,0.0
2012-06-11,24500.0
2012-06-12,51600.0
2012-06-13,129000.0
2012-06-14,7500.0
2012-06-15,4000.0
2012-06-16,0.0
2012-06-17,0.0
2012-06-18,70100.0
2012-06-19,134500.0
2012-06-20,10000.0
2012-06-21,70500.0
2012-06-22,14100.0
2012-06-23,0.0
2012-06-24,0.0
2012-06-25,76000.0
2012-06-26,47000.0
2012-06-27,38500.0
2012-06-28,79000.0
2012-06-29,12200.0
2012-06-30,0.0
2012-07-01,0.0
2012-07-02,59000.0
2012-07-03,83000.0
2012-07-04,42000.0
2012-07-05,58300.0
2012-07-06,15100.0
2012-07-07,0.0
2012-07-08,0.0
2012-07-09,3000.0
2012-07-10,28000.0
2012-07-11,51000.0
2012-07-12,13300.0
2012-07-13,8100.0
2012-07-14,0.0
2012-07-15,0.0
2012-07-16,0.0
2012-07-17,42300.0
2012-07-18,16200.0
2012-07-19,26200.0
2012-07-20,45100.0
2012-07-21,0.0
2012-07-22,0.0
2012-07-23,54500.0
2012-07-24,49000.0
2012-07-25,26000.0
2012-07-26,42300.0
2012-07-27,22300.0
2012-07-28,0.0
2012-07-29,0.0
2012-07-30,48100.0
2012-07-31,84600.0
2012-08-01,10100.0
2012-08-02,45000.0
2012-08-03,49000.0
2012-08-04,0.0
2012-08-05,0.0
2012-08-06,115000.0
2012-08-07,78500.0
2012-08-08,20700.0
2012-08-09,81000.0
2012-08-10,51500.0
2012-08-11,0.0
2012-08-12,0.0
2012-08-13,0.0
2012-08-14,0.0
2012-08-15,17100.0
2012-08-16,25100.0
2012-08-17,17000.0
2012-08-18,0.0
2012-08-19,0.0
2012-08-20,56900.0
2012-08-21,51500.0
2012-08-22,51000.0
2012-08-23,86200.0
2012-08-24,22600.0
2012-08-25,0.0
2012-08-26,0.0
2012-08-27,15000.0
2012-08-28,82500.0
2012-08-29,17500.0
2012-08-30,16000.0
2012-08-31,84500.0
2012-09-01,0.0
2012-09-02,0.0
2012-09-03,86500.0
2012-09-04,50800.0
2012-09-05,66200.0
2012-09-06,30000.0
2012-09-07,41300.0
2012-09-08,0.0
2012-09-09,0.0
2012-09-10,27400.0
2012-09-11,23000.0
2012-09-12,79000.0
2012-09-13,47700.0
2012-09-14,33000.0
2012-09-15,0.0
2012-09-16,0.0
2012-09-17,0.0
2012-09-18,17500.0
2012-09-19,6500.0
2012-09-20,17800.0
2012-09-21,84000.0
2012-09-22,0.0
2012-09-23,0.0
2012-09-24,63000.0
2012-09-25,85000.0
2012-09-26,43500.0
2012-09-27,26000.0
2012-09-28,43300.0
2012-09-29,0.0
2012-09-30,0.0
2012-10-01,80000.0
2012-10-02,63700.0
2012-10-03,64200.0
2012-10-04,53000.0
2012-10-05,36100.0
2012-10-06,0.0
2012-10-07,0.0
2012-10-08,0.0
2012-10-09,124500.0
2012-10-10,55000.0
2012-10-11,72000.0
2012-10-12,43000.0
2012-10-13,0.0
2012-10-14,0.0
2012-10-15,159300.0
2012-10-16,29500.0
2012-10-17,25300.0
2012-10-18,28300.0
2012-10-19,197000.0
2012-10-20,0.0
2012-10-21,0.0
2012-10-22,56000.0
2012-10-23,62600.0
2012-10-24,38000.0
2012-10-25,100100.0
2012-10-26,112000.0
2012-10-27,0.0
2012-10-28,0.0
2012-10-29,13900.0
2012-10-30,77000.0
2012-10-31,35000.0
2012-11-01,41600.0
2012-11-02,37300.0
2012-11-03,0.0
2012-11-04,0.0
2012-11-05,89000.0
2012-11-06,17200.0
